hanzi,pinyin,definition,frequency,HSKlevel,state
喷,pēn,"spurt, blow out, puff out",1729,5,0
耗,hào,"consume, use up; waste, squander",1730,6,0
凌,líng,pure; virtuous; insult; maltreat,1731,5,0
敲,qiāo,"strike, beat, pound, hammer; rap",1732,4,2
菌,jūn,"mushroom; germ, microbe",1733,6,0
赔,péi,"indemnify, suffer loss",1734,5,1
涂,tú,surname; name of certain rivers,1735,5,0
粹,cuì,pure; unadulterated; select,1736,6,0
扁,biǎn,"flat; tablet, signboard",1737,6,1
亏,kuī,"lose, fail; damage; deficient",1738,5,0
寂,jì,"still, silent, quiet, desolate",1739,5,0
煤,méi,"coal, coke, charcoal, carbon",1740,5,0
熊,xióng,a bear; brilliant; bright; surname,1741,3,2
恭,gōng,"respectful, polite, reverent",1742,5,1
湿,shī,"wet, moist, humid, damp; illness",1743,5,1
循,xún,"obey, comply with, follow",1744,6,0
暖,nuǎn,"warm, genial",1745,4,2
糖,táng,sugar; candy; sweets,1746,4,2
赋,fù,tax; give; endow; army; diffuse,1747,6,0
抑,yì,"press down, repress; curb, hinder",1748,6,0
秩,zhì,order; orderly; salary; decade,1749,5,0
帽,mào,"hat, cap; cap-like tops",1750,3,2
哀,āi,"sad, mournful, pitiful; pity",1751,6,0
宿,sù,"stop, rest, lodge, stay overnight; constellation",1752,5,1
踏,tà,"step on, trample, tread on, walk",1753,6,0
烂,làn,"rotten, spoiled, decayed",1754,5,0
袁,yuán,robe; surname,1755,,0
侯,hóu,"marquis, lord; target in archery",1756,,0
抖,dǒu,"tremble, shake, rouse; give shake",1757,5,0
夹,jiā,be wedged or inserted between,1758,5,1
昆,kūn,elder brother; descendants,1759,5,0
肝,gān,liver,1760,,1
擦,cā,"wipe, scrub, rub, scour; brush",1761,4,2
猪,zhū,"pig, hog, wild boar",1762,5,2
炼,liàn,"smelt, refine; distill, condense",1763,3,2
恒,héng,"constant, regular, persistent",1764,6,0
慎,shèn,"act with care, be cautious",1765,5,0
搬,bān,"transfer, move, remove, shift",1766,3,2
纽,niǔ,"knot; button; handle, knob; tie",1767,6,0
纹,wén,"line, streak, stripe; wrinkle",1768,6,0
玻,bō,glass,1769,5,1
渔,yú,to fish; seize; pursue; surname,1770,6,1
磁,cí,magnetic; magnetism; porcelain,1771,6,0
铜,tóng,"copper, brass, bronze",1772,6,0
齿,chǐ,"teeth; gears, cogs; age; simplified form of the KangXi radical number 211",1773,5,0
跨,kuà,"straddle, bestride, ride; carry",1774,6,0
押,yā,"mortgage, pledge; deposit; to pawn; to arrest, detain, guard",1775,5,0
怖,bù,"terror, fear; frighten; terrified",1776,6,0
漠,mò,"desert; aloof, indifferent, cool",1777,5,0
疲,pí,"feel tired, be exhausted; weak",1778,5,0
叛,pàn,rebel; rebellion; rebellious,1779,6,0
遣,qiǎn,"send, dispatch; send off, exile",1780,6,0
兹,zī,"now, here; this; time, year",1781,,0
祭,jì,"sacrifice to, worship",1782,,1
醉,zuì,"intoxicated, drunk; addicted to",1783,5,1
拳,quán,fist; various forms of boxing,1784,5,0
弥,mí,"extensive, full; fill; complete",1785,6,0
斜,xié,"slanting, sloping, inclined",1786,5,0
档,dàng,"shelf; frame, crosspiece",1787,5,0
稀,xī,"rare, unusual, scarce; sparse",1788,6,0
捷,jié,"win, victory, triumph",1789,6,0
肤,fū,"skin; superficial, shallow",1790,4,2
疫,yì,"epidemic, plague, pestilence",1791,6,0
肿,zhǒng,swell; swollen; swelling,1792,6,0
豆,dòu,"beans, peas; bean-shaped",1793,5,2
削,xuē,"scrape off, pare, trim",1794,6,0
岗,gǎng,post; position,1795,6,0
晃,huǎng,"bright, dazzling; to sway, shake",1796,6,0
吞,tūn,"swallow; absorb, annex, engulf",1797,6,0
宏,hóng,"wide, spacious, great, vast",1798,6,0
癌,ái,cancer; marmoset,1799,6,0
肚,dù,belly; abdomen; bowels,1800,4,2
隶,lì,subservient; servant; KangXi radical 171,1801,6,0
履,lǚ,"footwear, shoes; walk on, tread",1802,6,0
涨,zhǎng,rise in price,1803,5,0
耀,yào,"shine, sparkle, dazzle; glory",1804,6,0
扭,niǔ,"turn, twist, wrench; seize, grasp",1805,6,0
坛,tán,"altar; arena, examination hall",1806,6,0
拨,bō,move; dispel; distribute,1807,6,0
沃,wò,"water, irrigate; fertile, rich",1808,6,0
绘,huì,"draw, sketch, paint",1809,6,0
伐,fá,"cut down, subjugate, attack",1810,6,0
堪,kān,"adequately capable of, worthy of",1811,6,0
仆,pū,"fall forward; lie prostrate, prone; servant",1812,,0
郭,guō,outer part (of a city); surname,1813,,0
牺,xī,"sacrifice, give up; sacrificial",1814,6,0
歼,jiān,"annihilate, wipe out, kill off",1815,,0
墓,mù,"grave, tomb",1816,6,0
雇,gù,"employ, to hire",1817,6,0
廉,lián,"upright, honorable, honest",1818,6,0
契,qì,"deed, contract, bond; engrave",1819,,0
拼,pīn,"join together, link, incorporate",1820,5,0
惩,chéng,"punish, reprimand; warn",1821,6,0
捉,zhuō,"grasp, clutch; catch, seize",1822,6,0
覆,fù,cover; tip over; return; reply,1823,6,0
刷,shuā,"brush; clean with brush, scrub",1824,3,2
劫,jié,"take by force, coerce; disaster",1825,6,0
嫌,xián,"hate, detest; suspect; criticize",1826,6,0
瓜,guā,"melon, gourd, cucumber; rad. 97",1827,2,2
歇,xiē,"rest, stop, lodge",1828,5,0
雕,diāo,"engrave, inlay, carve; exhaust; used for 鵰 an eagle, vulture",1829,6,0
闷,mèn,"gloomy, depressed, melancholy",1830,6,0
乳,rǔ,"breast, nipples; milk, suckle",1831,6,0
串,chuàn,string; relatives; conspire,1832,6,2
娃,wá,baby; doll; pretty girl,1833,6,0
缴,jiǎo,"deliver, submit; hand over",1834,6,0
唤,huàn,call,1835,6,0
赢,yíng,"win; surplus, gain, profit",1836,4,2
莲,lián,"lotus, water lily; paradise",1837,,0
霸,bà,rule by might rather than right,1838,6,0
桃,táo,peach; marriage; surname,1839,5,0
妥,tuǒ,"satisfactory, appropriate",1840,6,0
瘦,shòu,"thin, emaciated, lean; meager",1841,3,2
搭,dā,"join together, attach to; add to",1842,6,0
赴,fù,"go to; attend, be present",1843,6,0
岳,yuè,mountain peak; surname,1844,6,0
嘉,jiā,excellent; joyful; auspicious,1845,5,0
舱,cāng,hold of ship; cabin,1846,6,0
俊,jùn,"talented, capable; handsome",1847,5,0
址,zhǐ,"site, location, land for house",1848,4,2
庞,páng,"disorderly, messy; huge, big",1849,6,0
耕,gēng,"plow, cultivate",1850,6,0
锐,ruì,"sharp, keen, acute, pointed",1851,6,0
缝,fèng,"sew, mend",1852,6,0
悔,huǐ,"repent, show remorse, regret",1853,4,2
邀,yāo,"invite, welcome; meet, intercept",1854,4,2
玲,líng,tinkling of jade,1855,,0
惟,wéi,"but, however, nevertheless; only",1856,,0
斥,chì,"to scold, upbraid, accuse, reproach",1857,6,0
宅,zhái,"residence, dwelling, home; grave",1858,6,0
添,tiān,"append, add to; increase",1859,6,0
挖,wā,"dig, dig out, gouge out, scoop",1860,6,0
呵,ā,scold; laughing sound; yawn,1861,6,2
讼,sòng,"accuse; argue, dispute; litigate",1862,6,0
氧,yǎng,oxygen,1863,6,0
浩,hào,"great, numerous, vast, abundant",1864,,0
羽,yǔ,"feather, plume; wings; rad. 124",1865,4,2
斤,jīn,"a catty (approximately 500 g); an axe; keen, shrewd; KangXi radical number 69",1866,3,2
酷,kù,"strong, stimulating; very",1867,6,0
掠,lüè,"rob, ransack, plunder; pass by",1868,6,0
妖,yāo,"strange, weird, supernatural",1869,,0
祸,huò,"misfortune, calamity, disaster",1870,6,0
侍,shì,"serve, attend upon; attendant, servant; samurai",1871,,0
乙,yǐ,second; 2nd heavenly stem,1872,5,0
妨,fáng,"interfere with, impede, obstruct",1873,5,0
贪,tān,"be greedy, covet; covetous",1874,6,0
挣,zhēng,"strive, endeavor, struggle",1875,5,0
汪,wāng,"vast, extensive, deep; surname",1876,,0
尿,niào,urine; urinate,1877,,0
莉,lì,white jasmine,1878,,1
悬,xuán,"hang, suspend, hoist; be hung",1879,6,1
唇,chún,lips,1880,6,1
翰,hàn,"writing brush, pen, pencil",1881,,0
仓,cāng,granary; berth; sea,1882,6,0
轨,guǐ,"track, rut, path",1883,6,0
枚,méi,"stalk of shrub, trunk of tree",1884,6,0
盐,yán,salt,1885,4,1
览,lǎn,"look at, inspect; perceive",1886,5,0
傅,fù,"tutor, teacher; assist; surname",1887,4,2
帅,shuài,"commander, commander-in-chief",1888,4,2
庙,miào,"temple, shrine; imperial court",1889,6,1
芬,fēn,"fragrance, aroma; perfume",1890,,0
屏,píng,"folding screen, shield",1891,6,0
寺,sì,"court, office; temple, monastery",1892,6,1
胖,pàng,"fat, obese; fatty",1893,3,2
璃,lí,glass,1894,5,1
愚,yú,"stupid, doltish, foolish",1895,6,0
滴,dī,drip; drop of water,1896,5,0
疏,shū,"neglect; careless, lax",1897,6,0
萧,xiāo,common artemisia; dejected,1898,,0
姿,zī,,1899,5,0
颤,chàn,"shiver, tremble; trembling",1900,6,0
丑,chǒu,"clown, comedian; 2nd terrestrial branch",1901,5,0
劣,liè,"bad, inferior; slightly",1902,5,0
柯,kē,"axe-handle; stalk, bough; surname",1903,,0
寸,cùn,"inch; small, tiny; KangXi radical 41",1904,6,0
扔,rēng,"throw, hurl; throw away, cast",1905,4,2
盯,dīng,"rivet gaze upon, keep eyes on",1906,6,1
辱,rǔ,"humiliate, insult, abuse",1907,6,0
匹,pǐ,bolt of cloth; counter for horses,1908,5,0
俱,jù,"all, together; accompany",1909,5,0
辨,biàn,"distinguish, discriminate",1910,6,0
饿,è,hungry; greedy for; hunger,1911,3,2
蜂,fēng,"bee, wasp, hornet",1912,5,0
哦,ó,oh? really? is that so?,1913,6,2
腔,qiāng,chest cavity; hollow in body,1914,6,0
郁,yù,"sweet smelling, rich in aroma; (Cant.) to move, hit",1915,6,0
溃,kuì,flooding river; militarily defeat,1916,6,0
谨,jǐn,"prudent, cautious; attentive",1917,5,0
糟,zāo,"sediment, dregs; pickle",1918,5,1
葛,gé,edible bean; surname,1919,,0
苗,miáo,sprouts; Miao nationality,1920,5,0
肠,cháng,intestines; emotions; sausage,1921,5,1
忌,jì,"jealous, envious; fear",1922,6,0
溜,liū,"slide, glide, slip; slippery",1923,6,0
鸿,hóng,species of wild swan; vast,1924,,0
爵,jué,feudal title or rank,1925,,0
鹏,péng,fabulous bird of enormous size,1926,,0
鹰,yīng,falcon; Accipiter species (various),1927,,0
笼,lóng,cage; cage-like basket,1928,6,0
丘,qiū,hill; elder; empty; a name,1929,6,0
桂,guì,cassia or cinnamon,1930,,0
滋,zī,"grow, multiply, increase; thrive",1931,6,0
聊,liáo,"somewhat, slightly, at least",1932,3,2
挡,dǎng,"obstruct, impede; stop; resist",1933,5,0
纲,gāng,"heavy rope, hawser; main points",1934,5,0
肌,jī,muscle tissue; meat on bones,1935,5,0
茨,cí,"thatching; caltrop, Tribulus terrestris",1936,,0
壳,ké,"casing, shell, husk",1937,6,0
痕,hén,scar; mark; trace,1938,6,0
碗,wǎn,"bowl, small dish",1939,3,2
穴,xué,"cave, den, hole; KangXi radical 116",1940,6,1
膀,bǎng,upper arm; shoulder; wing,1941,5,0
卓,zhuō,"profound, brilliant, lofty",1942,6,0
贤,xián,"virtuous, worthy, good; able",1943,6,0
卧,wò,lie down; crouch,1944,5,2
膜,mó,membrane; to kneel and worship,1945,6,0
毅,yì,"resolute, decisive, firm, persist",1946,6,0
锦,jǐn,"brocade, tapestry; embroidered",1947,6,0
欠,qiàn,"owe, lack, be deficient; KangXi radical number 76",1948,5,1
哩,lī,mile,1949,,0
函,hán,correspondence; a case; a box,1950,,0
茫,máng,"vast, boundless, widespread",1951,6,0
昂,áng,"rise, raise; proud, bold; upright",1952,6,0
薛,xuē,kind of marsh grass; feudal state,1953,,0
皱,zhòu,"wrinkles, creases, folds",1954,6,0
夸,kuā,"extravagant, luxurious; handsome",1955,5,0
豫,yù,"relaxed, comfortable, at ease",1956,5,0
胃,wèi,stomach; gizzard of fowl,1957,5,1
舌,shé,tongue; clapper of bell; KangXi radical 135,1958,6,1
剥,bō,peel,1959,6,0
傲,ào,"proud, haughty, overbearing",1960,4,1
拾,shí,"pick up, collect, tidy up; accounting form of the numeral ten",1961,4,2
窝,wō,"nest; cave, den; hiding place",1962,6,0
睁,zhēng,open eyes; stare,1963,5,1
携,xié,"lead by hand, take with; carry",1964,6,0
陵,líng,"hill, mound; mausoleum",1965,6,0
哼,hēng,"hum; sing softly; groan, moan; (Cant.) an interjecting indicating disapproval",1966,6,0
棉,mián,cotton; cotton padded,1967,6,0
晴,qíng,"clear weather, fine weather",1968,2,2
铃,líng,bell,1969,5,1
填,tián,"fill in, fill up; make good",1970,4,2
饲,sì,raise animals; feed; nourish,1971,6,0
渴,kě,"thirsty, parched; yearn, pine",1972,3,2
吻,wěn,kiss; the lips; coinciding,1973,5,1
扮,bàn,dress up; dress up as,1974,4,2
逆,nì,"disobey, rebel; rebel, traitor",1975,6,0
脆,cuì,"crisp; fragile, frail; brittle",1976,5,0
喘,chuǎn,"pant, gasp, breathe heavily",1977,6,0
罩,zhào,basket for catching fish; cover,1978,6,0
卜,bo,fortune telling; prophesy,1979,,0
炉,lú,"fireplace, stove, oven, furnace",1980,6,0
柴,chái,"firewood, faggots, fuel",1981,5,0
愉,yú,"pleasant, delightful; please",1982,4,2
绳,shéng,"rope, string, cord; control",1983,5,0
胎,tāi,"unborn child, embryo, fetus",1984,6,0
蓄,xù,"store, save, hoard, gather",1985,6,0
眠,mián,"close eyes, sleep; hibernate",1986,5,0
竭,jié,put forth great effort; exhaust,1987,6,0
喂,wèi,interjection to call attention,1988,1,2
傻,shǎ,"foolish, silly, stupid; an imbecile",1989,5,1
慕,mù,"long for, desire; admire",1990,4,2
浑,hún,"muddy, turbid; blend, merge, mix",1991,6,0
奸,jiān,"crafty, villainous, false",1992,,0
扇,shàn,fan; door panel,1993,5,0
柜,guì,"cabinet, cupboard; shop counter",1994,5,0
悦,yuè,"pleased, contented, gratified",1995,6,0
拦,lán,"obstruct, impede, bar, hinder",1996,5,0
诞,dàn,"bear children, give birth; birth",1997,6,2
饱,bǎo,,1998,3,2
乾,gān,"dry; first hexagram; warming principle of the sun, penetrating and fertilizing, heavenly generative principle (male)",1999,,0
泡,pào,"bubbles, suds; blister; soak",2000,6,0
贼,zéi,"thief, traitor; kill",2001,6,0
亭,tíng,pavilion; erect,2002,6,1
夕,xī,"evening, night, dusk; slanted",2003,5,1
爹,diē,"father, daddy",2004,,0
酬,chóu,"toast; reward, recompense",2005,6,0
儒,rú,Confucian scholar,2006,6,0
姻,yīn,relatives by marriage,2007,5,0
卵,luǎn,egg; ovum; roe; spawn,2008,,0
氛,fēn,"gas, vapor, air",2009,5,0
泄,xiè,leak; vent; flow; reveal,2010,6,0
杆,gān,pole; shaft of spear,2011,6,0
挨,āi,"near, close by, next to, towards, against; to wait; to lean on",2012,6,0
僧,sēng,"Buddhist priest, monk; san of Sanskrit sangha",2013,,0
蜜,mì,honey; sweet; nectar,2014,5,0
吟,yín,"sing, hum; recite; type of poetry",2015,6,0
猩,xīng,species of orangutan,2016,,0
遂,suì,"comply with, follow along; thereupon",2017,,0
狭,xiá,"narrow, limited; narrow-minded",2018,6,0
肖,xiào,"look like, resemble, be like",2019,6,1
甜,tián,"sweet, sweetness",2020,3,2
霞,xiá,rosy clouds,2021,6,0
驳,bó,"varicolored, variegated; mixed",2022,6,0
裕,yù,"abundant, rich, plentiful",2023,6,0
顽,wán,"obstinate, stubborn; recalcitrant",2024,6,0
於,yú,"in, at, on; interjection alas!",2025,,0
摘,zhāi,"pluck, pick; select; specify",2026,5,0
矮,ǎi,"short, dwarf; low",2027,3,2
秒,miǎo,beard of grain or corn; a second,2028,4,2
卿,qīng,"noble, high officer",2029,,0
畜,chù,"livestock, domestic animals",2030,6,0
咽,yàn,throat; pharynx,2031,6,0
披,pī,wear; split; crack,2032,5,0
辅,fǔ,cheek bone; protective; assist,2033,5,1
勾,gōu,"hook, join, connect; entice",2034,6,0
盆,pén,"basin, tub, pot, bowl",2035,5,0
疆,jiāng,"boundary, border, frontier",2036,6,0
赌,dǔ,"bet, gamble, wager; compete",2037,6,0
塑,sù,"model in clay, sculpt; plastics",2038,4,1
畏,wèi,"fear, dread, awe, reverence",2039,6,0
吵,chǎo,"argue, dispute; disturb, annoy",2040,5,2
囊,náng,"bag, purse, sack; put in bag",2041,,0
嗯,ń,final particle,2042,5,0
泊,pō,anchor vessel; lie at anchor,2043,6,0
肺,fèi,lungs,2044,6,0
骤,zhòu,procedure; gallop; sudden(ly),2045,5,0
缠,chán,"wrap, wind around; tie, bind",2046,6,0
冈,gāng,ridge or crest of hill,2047,,0
羞,xiū,"disgrace, shame; ashamed; shy",2048,4,1
瞪,dèng,stare at,2049,6,0
吊,diào,"condole, mourn, pity; hang",2050,6,0
贾,jiǎ,"surname; merchant; buy, trade",2051,,0
漏,lòu,"leak, drip; funnel; hour glass",2052,5,1
斑,bān,"mottled, striped, freckle",2053,6,0
涛,tāo,large waves,2054,6,0
悠,yōu,"long, far, remote, distant; liesurely",2055,5,1
鹿,lù,deer; surname; KangXi radical 198,2056,,0
俘,fú,prisoner of war; take as prisoner,2057,6,0
锡,xī,"tin, stannum; bestow, confer",2058,,0
卑,bēi,"humble, low, inferior; despise",2059,6,0
葬,zàng,"bury, inter",2060,6,0
铭,míng,"inscribe, engrave",2061,6,0
滩,tān,"bank, a sandbar, shoal; rapids",2062,5,1
嫁,jià,"to marry, give a daughter in marriage",2063,5,0
催,cuī,"press, urge",2064,5,0
璇,xuán,beautiful jade; star,2065,,0
翅,chì,wings; fin,2066,5,0
盒,hé,small box or case; casket,2067,4,2
蛮,mán,"barbarians; barbarous, savage",2068,6,0
矣,yǐ,particle of completed action,2069,,0
潘,pān,surname; water in which rice has been rinsed; a river that flows into the Han,2070,,0
歧,qí,fork of road; branching off,2071,6,0
赐,cì,"give, bestow favors; appoint",2072,,0
鲍,bào,abalone; dried fish; surname,2073,,0
锅,guō,"cooking-pot, saucepan",2074,5,0
廊,láng,"corridor, porch, veranda",2075,6,0
拆,chāi,"to break up, split apart, rip open; to destroy",2076,5,2
灌,guàn,"pour; water; irrigate, flood",2077,6,0
勉,miǎn,"endeavor, make effort; urge",2078,6,0
盲,máng,"blind; unperceptive, shortsighted",2079,6,1
宰,zǎi,to slaughter; to rule,2080,6,0
佐,zuǒ,"assist, aid, second; subordinate",2081,,0
啥,shà,what?,2082,6,0
胀,zhàng,"swell, inflate, expand",2083,6,0
扯,chě,"rip up, tear down; raise; haul",2084,6,0
禧,xǐ,happiness; congratulations,2085,,0
辽,liáo,"distant, far",2086,6,0
抹,mǒ,"smear, apply, wipe off, erase",2087,6,0
筒,tǒng,thick piece of bamboo; pipe,2088,6,0
棋,qí,chess; any game similar to chess,2089,5,1
裤,kù,"trousers, pants",2090,3,2
唉,āi,"alas, exclamation of surprise or pain",2091,5,0
朴,pǔ,"simple, unadorned; sincere; surname; a tree",2092,6,0
咐,fù,"instruct, order",2093,6,0
孕,yùn,"be pregnant, pregnancy",2094,5,0
誓,shì,"swear, pledge; oath",2095,6,0
喉,hóu,"throat, gullet, larynx; guttural",2096,6,0
妄,wàng,"absurd, foolish, reckless; false",2097,6,0
拘,jū,"restrain, seize, detain",2098,6,1
链,liàn,"chain, wire, cable; chain, shack",2099,5,0
驰,chí,go quickly or swiftly; hurry,2100,6,0
栏,lán,"railing, balustrade; animal pan",2101,6,0
逝,shì,pass away; die,2102,6,0
窃,qiè,"secretly, stealthily; steal; thief",2103,6,0
艳,yàn,"beautiful, sexy, voluptuous",2104,5,0
臭,chòu,"smell, stink, emit foul odor",2105,5,1
纤,xiān,"fine, delicate; minute; graceful",2106,6,0
玑,jī,pearl that is not quite round,2107,,0
棵,kē,numerary adjunct for trees,2108,4,1
趁,chèn,"take advantage of, avail oneself",2109,5,0
匠,jiàng,"craftsman, artisan; workman",2110,,0
盈,yíng,"fill; full, overflowing; surplus",2111,6,0
翁,wēng,"old man; father, father-in-law",2112,,0
愁,chóu,"anxiety; to worry about, be anxious",2113,5,0
瞬,shùn,"wink, blink; in a wink, a flash",2114,6,0
婴,yīng,"baby, infant; bother",2115,6,0
孝,xiào,"filial piety, obedience; mourning",2116,5,0
颈,jǐng,"neck, throat",2117,6,0
倘,tǎng,"if, supposing, in event of",2118,6,0
浙,zhè,Zhejiang province; river,2119,,0
谅,liàng,"excuse, forgive; guess, presume",2120,4,2
蔽,bì,"cover, hide, conceal; shelter",2121,6,0
畅,chàng,"smoothly, freely, unrestrained",2122,6,1
赠,zèng,"give present; bestow, confer",2123,6,0
妮,nī,"maid, servant girl; cute girl",2124,,0
莎,shā,"kind of sedge grass, used anciently for raincoats",2125,,0
尉,wèi,"officer, military rank",2126,,0
冻,dòng,"freeze; cold, congeal; jelly",2127,5,0
跪,guì,kneel,2128,6,0
闯,chuǎng,"rush in, burst in, charge in",2129,5,0
葡,pú,grapes,2130,4,1
後,hòu,"behind, rear, after; descendents",2131,,0
厨,chú,kitchen; closet; cupboard,2132,4,2
鸭,yā,duck; Anas species (various),2133,4,2
颠,diān,"top, peak, summit; upset",2134,6,0
遮,zhē,"cover, shield, protect",2135,6,0
谊,yì,"friendship; appropriate, suitable",2136,4,2
圳,zhèn,"furrow in field, small drainage ditch",2137,,0
吁,xū,,2138,6,0
仑,lún,"logical reasons, logical order",2139,,2
辟,pì,"law, rule; open up, develop",2140,6,0
瘤,liú,"tumor, lump, goiter",2141,6,0
嫂,sǎo,,2142,6,0
陀,tuó,"steep bank, rough terrain",2143,,0
框,kuāng,frame; framework; door frame,2144,6,0
谭,tán,surname,2145,,0
亨,hēng,"smoothly, progressing, no trouble",2146,,0
钦,qīn,"respect, admire; respectful",2147,6,0
庸,yōng,"usual, common, ordinary, mediocre",2148,6,0
歉,qiàn,"deficient, lacking, insufficient",2149,4,2
芝,zhī,,2150,,0
吼,hǒu,"roar, shout; bark, howl",2151,6,0
甫,fǔ,"begin; man, father; great; a distance of ten li",2152,,0
衫,shān,shirt; robe; gown; jacket,2153,3,2
摊,tān,"spread out, open; apportion",2154,6,1
宴,yàn,"to entertain, feast; a feast, banquet",2155,5,1
嘱,zhǔ,"order, tell, instruct, leave word",2156,6,0
衷,zhōng,,2157,6,0
娇,jiāo,seductive and loveable; tender,2158,6,0
陕,shǎn,mountain pass; Shanxi province,2159,,0
矩,jǔ,,2160,5,0
浦,pǔ,"bank of river, shore; surname",2161,,0
讶,yà,"express surprise, be surprised",2162,6,0
耸,sǒng,"urge on; rise up; stir, excite",2163,6,0
裸,luǒ,"bare, nude; undress, strip",2164,,0
碧,bì,"jade; green, blue",2165,,0
摧,cuī,"destroy, break, injure",2166,6,0
薪,xīn,"fuel, firewood; salary",2167,6,0
淋,lín,"drip, soak, drench; perfectly",2168,6,0
耻,chǐ,"shame, humiliation; ashamed",2169,6,0
胶,jiāo,"glue, gum, resin, rubber; sound; shin bone",2170,5,0
屠,tú,"butcher, slaughter, massacre",2171,,0
鹅,é,goose,2172,,0
饥,jī,"hunger, starving; hungry; a famine",2173,6,0
盼,pàn,"look, gaze; expect, hope for",2174,5,0
脖,bó,neck,2175,5,0
虹,hóng,rainbow,2176,5,0
翠,cuì,color green; kingfisher,2177,,0
崩,bēng,"rupture, split apart, collapse",2178,6,0
账,zhàng,"accounts; bill, debt; credit",2179,5,0
萍,píng,"duckweed; wandering, traveling",2180,,0
逢,féng,"come upon, happen meet; flatter",2181,6,0
赚,zhuàn,"make money, earn; gain, profit",2182,4,1
撑,chēng,"prop up, support; brace",2183,6,0
翔,xiáng,"soar, glide, hover; detailed",2184,6,0
倡,chàng,"guide, leader; lead, introduce",2185,5,0
绵,mián,"cotton wad; wool; soft, downy",2186,,0
猴,hóu,"monkey, ape; monkey-like",2187,5,2
枯,kū,"dried out, withered, decayed",2188,6,0
巫,wū,"wizard, sorcerer, witch, shaman",2189,,0
昭,zhāo,"bright, luminous; illustrious",2190,,0
怔,zhēng,a disease resembling neurosis,2191,,0
渊,yuān,"surge up, bubble up, gush forth",2192,,0
凑,còu,"piece together, assemble",2193,6,0
溪,xī,"mountain stream, creek",2194,6,0
蠢,chǔn,wriggle; stupid; silly; fat,2195,6,1
禅,chán,,2196,,0
阐,chǎn,"explain, clarify, elucidate",2197,6,0
旺,wàng,prosper; prosperous; increase,2198,6,0
寓,yù,residence; lodge; dwell,2199,5,0
藤,téng,"rattan, cane; creeper plant",2200,,0
匪,fěi,"bandits, robbers, gangsters",2201,,0
伞,sǎn,"umbrella, parasol, parachute",2202,3,2
碑,bēi,stone tablet; gravestone,2203,6,0
挪,nuó,"move, shift on one side",2204,6,0
琼,qióng,"jade; rare, precious; elegant; (Cant.) to coagulate",2205,,0
脂,zhī,"fat, grease, lard; grease",2206,6,0
谎,huǎng,lie,2207,6,0
慨,kǎi,"sigh, regret; generous",2208,6,0
菩,pú,"herb, aromatic plant",2209,,0
萄,táo,grapes,2210,4,1
狮,shī,lion,2211,5,1
掘,jué,"dig, excavate; excavate cave",2212,6,0
抄,chāo,"copy, confiscate, seize",2213,5,0
岭,lǐng,"mountain ridge, mountain peak",2214,,0
晕,yūn,"halo in sky; fog; dizzy, faint",2215,5,0
逮,dǎi,"seize, catch; reach, arrive",2216,6,0
砍,kǎn,"hack, chop, cut, fell",2217,5,2
掏,tāo,take out; pull out; clean out,2218,6,0
狄,dí,tribe from northern china; surnam,2219,,0
晰,xī,"clear, evident; clearly",2220,6,0
罕,hǎn,"rare, scarce; surname",2221,6,0
挽,wǎn,"pull; pull back, draw back",2222,6,0
脾,pí,"spleen, pancreas; disposition",2223,4,2
舟,zhōu,"boat, ship; KangXi radical 137",2224,6,1
痴,chī,"foolish, stupid, dumb, silly",2225,,0
蔡,cài,surname; species of tortoise,2226,,0
剪,jiǎn,"scissors; cut, divide, separate",2227,5,1
脊,jí,"spine, backbone; ridge",2228,,0
弓,gōng,"bow; curved, arched; KangXi radical number 57",2229,,1
懒,lǎn,"lazy, languid, listless",2230,4,2
叉,chā,"crotch; fork, prong",2231,5,1
拐,guǎi,"kidnap, abduct; turn",2232,5,0
喃,nán,"keep talking, chattering; mumble",2233,,0
僚,liáo,"companion, colleague; officials; bureaucracy; a pretty face",2234,,0
捐,juān,"contribute; give up, renounce",2235,5,0
姊,zǐ,elder sister,2236,,0
骚,sāo,"harass, bother, annoy, disturb",2237,6,0
拓,tà,expand; open up; support or push,2238,6,0
歪,wāi,"slant; inclined; askewd, awry",2239,5,0
粘,zhān,"viscous, mucous; glutinous",2240,5,0
柄,bǐng,"handle, lever, knob; authority",2241,,0
坑,kēng,"pit, hole; bury, trap; harry",2242,6,0
陌,mò,foot path between rice fields,2243,5,0
窄,zhǎi,"narrow, tight; narrow-minded",2244,5,0
湘,xiāng,Hunan province,2245,,0
兆,zhào,omen; million; mega; also trillion. China = million; Japan and Taiwan = trillion,2246,6,0
崖,yá,"cliff, precipice; precipitous",2247,6,0
骄,jiāo,spirited horse; haughty,2248,4,1
刹,shā,"temple, shrine, monastary",2249,6,0
鞭,biān,whip; whip; string of firecrackers,2250,5,0
芒,máng,Miscanthus sinensis,2251,6,0
筋,jīn,muscles; tendons,2252,6,0
聘,pìn,"engage, employ; betroth",2253,4,1
钩,gōu,"hook, barb; sickle; stroke with",2254,6,0
棍,gùn,"stick, cudgel; scoundrel",2255,6,0
嚷,rǎng,"shout, brawl, make uproar, cry",2256,6,0
腺,xiàn,gland,2257,,0
弦,xián,"string; hypotenuse, crescent",2258,6,0
焰,yàn,"flame, blaze; glowing, blazing",2259,6,0
耍,shuǎ,"frolic, play, amuse, play with",2260,6,0
俯,fǔ,"bow down, face down, look down",2261,6,0
