hanzi,pinyin,definition,frequency,HSKlevel,state
孤,gū,"orphan, fatherless; solitary",1334,6,1
鼻,bí,nose; first; KangXi radical 209,1335,3,2
闹,nào,quarrel; dispute hotly,1336,4,2
羊,yáng,"sheep, goat; KangXi radical 123",1337,2,2
呆,dāi,"dull; dull-minded, simple, stupid",1338,5,0
厉,lì,"whetstone; grind, sharpen; whet",1339,4,2
衡,héng,"measure, weigh, judge, consider",1340,5,0
胞,bāo,"womb, placenta, fetal membrane",1341,6,0
零,líng,"zero; fragment, fraction",1342,2,2
穷,qióng,"poor, destitute, impoverished",1343,4,2
舍,shě,"house, dwelling; dwell, reside",1344,5,1
码,mǎ,"number, numerals; yard; symbol",1345,4,2
赫,hè,"bright, radiant, glowing",1346,,0
婆,pó,old woman; grandmother,1347,5,1
魂,hún,"soul, spirit",1348,6,0
灾,zāi,"calamity, disaster, catastrophe",1349,5,0
洪,hóng,"vast, immense; flood, deluge",1350,6,0
腿,tuǐ,"legs, thighs",1351,3,2
胆,dǎn,"gall bladder; bravery, courage",1352,5,0
津,jīn,ferry; saliva; ford,1353,6,0
俗,sú,"social customs; vulgar, unrefined",1354,5,1
辩,biàn,"dispute, argue, debate, discuss",1355,5,0
胸,xiōng,"breast, bosom, chest; thorax",1356,5,0
晓,xiǎo,"dawn, daybreak; clear, explicit",1357,6,0
劲,jìn,"strong, unyielding, tough, power",1358,5,1
贫,pín,"poor, impoverished, needy",1359,6,0
仁,rén,"humaneness, benevolence, kindness",1360,6,0
偶,ǒu,"accidentally, coincidently; an idol",1361,4,1
辑,jí,"gather up, collect; edit, compile",1362,5,0
邦,bāng,"nation, country, state",1363,,1
恢,huī,"restore; big, great, immense, vast",1364,5,2
赖,lài,"rely, depend on; accuse falsely",1365,6,0
圈,quān,to circle; a circle; corral,1366,5,1
摸,mō,gently touch with hand; caress,1367,5,1
仰,yǎng,"raise the head to look; look up to, rely on, admire",1368,6,0
润,rùn,"soft, moist; sleek; freshen",1369,5,1
堆,duī,"heap, pile, crowd; pile up",1370,5,0
碰,pèng,"collide, bump into",1371,5,1
艇,tǐng,"small boat, dugout, punt",1372,6,0
稍,shāo,"little, slightly; rather",1373,4,2
迟,chí,"late, tardy; slow; delay",1374,3,2
辆,liàng,numerary adjunct for vehicles,1375,3,2
废,fèi,"abrogate, terminate, discard",1376,5,1
净,jìng,"clean, pure; cleanse",1377,3,2
凶,xiōng,"culprit; murder; bad, sad",1378,6,0
署,shǔ,public office,1379,6,0
壁,bì,partition wall; walls of a house,1380,5,0
御,yù,"drive, ride; chariot; manage",1381,6,0
奉,fèng,offer; receive; serve; respect,1382,6,0
旋,xuán,"revolve, move in orbit; return",1383,6,0
冬,dōng,"winter, 11th lunar month",1384,3,2
矿,kuàng,"mine; mineral, ore",1385,4,2
抬,tái,"lift, carry",1386,4,1
蛋,dàn,eggs; term of abuse,1387,2,2
晨,chén,"early morning, daybreak",1388,6,0
伏,fú,"crouch, crawl, lie hidden, conceal",1389,6,0
吹,chuī,"blow; puff; brag, boast",1390,5,0
鸡,jī,chicken,1391,2,2
倍,bèi,"times, fold, multiple times",1392,4,2
糊,hú,"paste, stick on with paste",1393,5,0
秦,qín,,1394,,2
盾,dùn,"shield, shield-shaped object; currency sign for Dutch guilder",1395,5,0
杯,bēi,"cup, glass",1396,1,2
租,zū,"rent, lease; rental; tax",1397,1,2
骑,qí,ride horseback; mount; cavalry,1398,3,2
乏,fá,lack; poor,1399,5,0
隆,lóng,"prosperous, plentiful, abundant",1400,6,0
诊,zhěn,"examine patient, diagnose",1401,5,0
奴,nú,"slave, servant",1402,6,0
摄,shè,"take in, absorb; act as deputy",1403,5,0
丧,sàng,mourning; mourn; funeral,1404,6,0
污,wū,"filthy, dirty, impure, polluted",1405,4,2
渡,dù,"cross, ferry over; ferry",1406,6,0
旗,qí,"banner, flag, streamer",1407,6,0
甘,gān,"sweetness; sweet, tasty",1408,6,1
耐,nài,"endure, bear; resist; patient",1409,4,2
凭,píng,"lean on, depend on, rely on",1410,5,1
扎,zhā,pull up; pierce; struggle free,1411,6,0
抢,qiǎng,"plunder, rob, take by force",1412,5,0
绪,xù,"end of thread; thread, clue",1413,5,0
粗,cū,"rough, thick, course; rude",1414,4,1
肩,jiān,shoulders; to shoulder; bear,1415,5,0
梁,liáng,bridge; beam; rafters; surname,1416,6,0
幻,huàn,"illusion, fantasy, mirage",1417,5,0
菲,fēi,"fragrant, luxuriant; the Philippines",1418,,0
皆,jiē,"all, every, everybody",1419,6,0
碎,suì,"break, smash; broken, busted",1420,5,1
宙,zhòu,time as concept; infinite time,1421,6,0
叔,shū,,1422,3,2
岩,yán,cliff; rocks; mountain,1423,6,0
荡,dàng,"pond, pool; wash away, cleanse",1424,6,0
综,zōng,arrange threads for weaving,1425,5,0
爬,pá,"crawl, creep; climb; scramble",1426,3,2
荷,hé,"lotus, water lily, holland",1427,,0
悉,xī,"know, learn about, comprehend",1428,4,2
蒂,dì,peduncle or stem of plants,1429,6,0
返,fǎn,"return, revert to, restore",1430,5,0
井,jǐng,"well, mine shaft, pit",1431,6,0
壮,zhuàng,"big, large; robust; name of tribe",1432,6,0
薄,báo,"thin, slight, weak; poor, stingy",1433,5,1
悄,qiāo,"silent, quiet, still; anxious",1434,5,0
扫,sǎo,"sweep, clear away; exterminate",1435,3,2
敏,mǐn,"fast, quick, clever, smart",1436,5,0
碍,ài,"obstruct, hinder, block, deter",1437,5,0
殖,zhí,"breed, spawn; increase; prosper",1438,6,0
详,xiáng,"detailed, complete, thorough",1439,4,2
迪,dí,"enlighten, advance; progress",1440,,0
矛,máo,"spear, lance; KangXi radical 110",1441,5,0
霍,huò,"quickly, suddenly; surname",1442,6,0
允,yǔn,"to grant, to allow, to consent",1443,4,2
幅,fú,"piece, strip, breadth of, hem",1444,5,0
撒,sā,"release, cast away, let go; disperse; relax",1445,6,0
剩,shèng,"leftovers, residue, remains",1446,4,2
凯,kǎi,"triumphant; triumph, victory",1447,,0
颗,kē,"grain, kernel",1448,5,0
骂,mà,"accuse, blame, curse, scold",1449,5,1
赏,shǎng,"reward, grant, bestow; appreciate",1450,5,0
液,yè,"sap, juice, liquid, fluid",1451,6,0
番,fān,"to take turns; a turn, a time; to repeat",1452,6,0
箱,xiāng,"case, box, chest, trunk",1453,3,2
贴,tiē,"paste to, stick on; attached to",1454,5,1
漫,màn,overflow of water; spreading,1455,4,2
酸,suān,"tart, sour; acid; stiff; spoiled",1456,4,2
郎,láng,"gentleman, young man; husband",1457,6,0
腰,yāo,waist; kidney,1458,5,0
舒,shū,"open up, unfold, stretch out; comfortable, easy",1459,3,2
眉,méi,eyebrows; upper margin of book,1460,5,0
忧,yōu,"sad, grieved; grief, melancholy",1461,6,0
浮,fú,"to float, drift, waft; to exceed; superfluous",1462,6,0
辛,xīn,"bitter; toilsome, laborious; 8th heavenly stem",1463,4,2
恋,liàn,"love; long for, yearn for; love",1464,5,0
餐,cān,"eat, dine; meal; food",1465,4,2
吓,xià,"scare, frighten; intimidate",1466,5,1
挺,tǐng,"to stand upright, straighten; rigid",1467,4,2
励,lì,strive; encourage,1468,4,2
辞,cí,"words, speech, expression, phrase",1469,5,0
艘,sōu,"counter for ships, vessels",1470,6,0
键,jiàn,"door bolt, lock bolt; key",1471,4,2
伍,wǔ,"five, company of five; troops",1472,6,0
峰,fēng,"peak, summit; hump of camel",1473,6,0
尺,chǐ,,1474,5,0
昨,zuó,"yesterday; in former times, past",1475,1,2
黎,lí,"surname; numerous, many; black",1476,6,0
辈,bèi,"generation, lifetime; class",1477,5,0
贯,guàn,a string of 1000 coins; to go through,1478,6,0
侦,zhēn,"spy, reconnoiter; detective",1479,6,0
滑,huá,"slip, slide; slippery, polished",1480,5,1
券,quàn,"certificate, ticket; title deeds",1481,6,0
崇,chóng,"esteem, honor, revere, venerate",1482,6,0
扰,rǎo,"disturb, annoy, agitate",1483,4,2
宪,xiàn,"constitution, statute, law",1484,6,0
绕,rào,entwine; wind around; surround,1485,5,0
趋,qū,"hasten, hurry; be attracted to",1486,5,0
慈,cí,"kind, charitable, benevolent",1487,6,0
乔,qiáo,"tall, lofty; proud, stately",1488,,0
阅,yuè,"examine, inspect, review, read",1489,4,2
汗,hàn,"perspiration, sweat",1490,4,2
枝,zhī,"branches, limbs; branch off",1491,6,0
拖,tuō,"drag, tow, haul; delay, prolong",1492,6,0
墨,mò,ink; writing,1493,6,0
胁,xié,"ribs, armpits; flank; threaten",1494,5,0
插,chā,"insert, stick into; plant",1495,5,0
箭,jiàn,arrow; type of bamboo,1496,6,0
腊,là,year end sacrifice; dried meat,1497,,0
粉,fěn,"powder, face powder; plaster",1498,6,1
泥,ní,"mud, mire; earth, clay; plaster",1499,6,0
氏,shì,"clan, family; mister",1500,6,1
彭,péng,name of ancient country; surname,1501,,0
拔,bá,"uproot, pull out",1502,6,0
骗,piàn,"swindle, cheat out of, defraud",1503,4,2
凤,fèng,male phoenix; symbol of joy,1504,,0
慧,huì,"bright, intelligent; intelligence",1505,5,0
媒,méi,"go-between, matchmaker; medium",1506,5,0
佩,pèi,"belt ornament, pendant; wear at waist, tie to the belt; respect",1507,5,0
愤,fèn,"resent, hate; indignant",1508,6,0
扑,pū,"pound, beat, strike; attack",1509,6,0
龄,líng,age; years,1510,4,2
驱,qū,"spur a horse on; expel, drive away",1511,6,0
惜,xī,"pity, regret, rue, begrudge",1512,4,2
豪,háo,"brave, heroic, chivalrous",1513,5,0
掩,yǎn,"to cover (with the hand); shut, conceal; ambush",1514,6,0
兼,jiān,"unite, combine; connect; and",1515,5,0
